systolic hypertension	C0221155
diastolic dysfunction	C0520863
renal failure	C0035078
bilateral hydronephrosis	C0521622
abnormal wall motion activity	CUI-less
black stool	C0025222
bleeding disorder	C1458140
generalized weakness	C1883552
cachectic	C0006625
costovertebral tenderness	C0235634
perforation	CUI-less
acute risk to herself	CUI-less
peripheral vascular disease	C0085096
bowel symptoms	CUI-less
localized pain	C0520962
diplopia	C0012569
shivering	CUI-less
anterolateral myocardial infarct	C0155627
pancreatic pseudocyst	C0030299
hsv encephalitis	C0276226
friable mucosa	CUI-less
taking multiple pills	C0029944
nasopharyngeal carcinoma	C2931822
left atrium elongated	C0344711
systolic murmur at apex	CUI-less
periodic epileptiform discharges	CUI-less
rca tortuous	CUI-less
left upper quadrant pain	C0238552
pulmonary vascular redistribution	CUI-less
rc one aneurysm	CUI-less
high grade b cell lymphoma	C0456863
oriented times three	CUI-less
sinus brady	C0085610
mitral stenosis	C0026269
cancer	C0006826
drainage from wound	C0332799
abrasions	C1302752
ckd	C0403447
slow return of bowel function	CUI-less
failure to thrive	C0015544
tortuous aorta	CUI-less
feeling lh	C0220870
dysuria	C0013428
fourth heart sound	CUI-less
displaced fractures	C0585059
muscle pain	C0231528
myoclonic jerking	C0027066
hematocrit decreased	CUI-less
chills	C0085593
bleeding esophageal varices	C0155789
retained product of conception	C0033270
abdominal wall abscess	C0263105
noncompliance with medications	CUI-less
myelocele	C0086664
genital herpes	C0019342
lung volumes are low	CUI-less
black material bowel movement	CUI-less
right dominant sytem	C0345135
radiations	CUI-less
passed bowel movement	CUI-less
hand laceration	C0432975
occlusions	C0028778
cancers	C0006826
effacement	CUI-less
poor epiglottic dysflexion	CUI-less
normal sinus rhythm	CUI-less
right ventricular systolic function	CUI-less
vegetation mitral valve	C0577871
cmo	CUI-less
enlarged r kidney	CUI-less
low ejection fraction	CUI-less
cmv	CUI-less
abscess	C0000833
sinus involvement	CUI-less
coarse rhonchi	C0035508
appropriate increase hct	CUI-less
arterial-phase enhancement	CUI-less
tamponade	C0007177
resting lvot gradient	CUI-less
carotid stenosis	C0007282
changes cardiac function	CUI-less
impaired fillling physiology	CUI-less
right atrial diastolic collapse	CUI-less
pulmonary sequelae	CUI-less
spillage	C0015376
drugs	CUI-less
descending thoracic aorta dilated	C3164874
hurting himself	C0480203
hypoxic respiratory failure	CUI-less
vomitting bright red blood	C0018926
transtentorial herniation	C2937226
anterior precordial r wave progression	CUI-less
compresses cord	C0037926
complete obstruction	C0001168
respirtory distress	C0476273
calciphylaxis	C0006666
pronator drift	C1504476
infiltrate	C0332448
portal flow	CUI-less
rooting	CUI-less
cop	C0024117
yelling	CUI-less
compalints	CUI-less
adomen nondistended	CUI-less
lad	CUI-less
bruise	C0009938
wounds redness	C0406833
polycystic ovaries	C0032460
renal artery cirrhosis	CUI-less
polycystic kidney disease	C0022680
post- obstructive	CUI-less
heart problems	CUI-less
staph aureus pneumonia	C2349530
gastroparesis	C0152020
lost 37 pounds	CUI-less
free air	C0032320
cpp	CUI-less
pericholecystic fluid collection	CUI-less
telemetry events	CUI-less
extravasation of contrast	C1997179
polymyalgia rheumatica	C0032533
heard voices	C0424068
pelvic lymphadenopathy	C1264124
shift midline structures	CUI-less
gas present	CUI-less
gout	C0018099
foreign bodies	C0016542
exertional chest discomfort	C0232288
creatinine decreased	CUI-less
infarctions embolic	C0264978
lbp	C0024031
unstable angina	C0002965
kidney stones	C0022650
alcoholic history	CUI-less
soft tissue abnormalities	CUI-less
opened eyes	CUI-less
gynecological cancers	C0006826
making grammatical errors	CUI-less
anicteric	CUI-less
elevated wedge pressure	CUI-less
skull fracture	C0037304
pneumothorax	C0032326
ntnd	CUI-less
wound	C0043250
pericarditis	C0031046
generalize seizure	C0234533
bruits	CUI-less
cri	C0022661
substance abuse	C0740858
mucosa pale	CUI-less
diastolic heart failure	C1135196
1st metacarpal fx	C0272678
lipohemarthrosis	CUI-less
poor control blood pressure	CUI-less
sacral edema	C0235438
colon cancer	C0007102
varices esophagus	C0014867
lower extremity weakness	C0751410
dry mucous membrane	C0854113
distended	CUI-less
ttp	CUI-less
t1 signal	CUI-less
aortic valve leaflets stenotic	C0003507
renal function	CUI-less
persistent vomiting	C0152165
retained products	C0033270
1st degree a-v block	C0085614
low blood sugar	C0020615
hearing decreased	CUI-less
distal asymmetry	CUI-less
low plt	CUI-less
infected tunneled catheter	C0588173
fullness	CUI-less
lung disease	C0024115
blood in vomitus	CUI-less
atrophic musculature	C0026846
goiter	C0018021
pulm htn	C0020542
hemiparesis	C0018989
oriented to place or time	CUI-less
acute cardiopulmonary process	C0155671
st-t changes	CUI-less
dilated	C0012359
nodular cirrhotic liver	CUI-less
nodules lung	C0748164
pneumothoraces	C0032326
melanoma	C0025202
heroin abuse	C0019337
pneumatosis	C0333139
hilum lymphadenopathy	C0456973
circumferential	CUI-less
exp wheezes	C0231875
lightheaded	C0220870
new infarction	C0021308
copd exacerbation	C0340044
renal inability to excrete na	CUI-less
depressed dtrs	CUI-less
volume overload	C0546817
palpable dorsalis pedis pulse	CUI-less
non-q-wave mi	C0542269
unresponsive to voice	CUI-less
diziness	C0012833
collapsed	CUI-less
thrombus	C0087086
supraclavicular lad	C0749155
cva	C0038454
acute anterior myocardial infarction	C2349195
cvd	C0007222
tear	C0043246
left ventricular enlargement	C0149721
splinters	C0433651
mononucleosis	C0272210
inflammatory fat stranding	CUI-less
ivda	CUI-less
speech improved	CUI-less
peptic ulcer disease	C0030920
urinary calculi	CUI-less
hematochezeia	CUI-less
abdomen non-tender	CUI-less
withdrawal	C0087169
jugulovenous distension	CUI-less
type 2 diabetes	C0011860
frontal headache	C0239886
speech	CUI-less
fall from ladder	C0337212
dystonia	C0013421
steroid use	CUI-less
right hemiparesis	CUI-less
exercise tolerance	CUI-less
chronic renal insufficiency	C0022661
blood clot	C0302148
drainage site	C1272590
p-r interval prolongation	CUI-less
black material vomit	CUI-less
hypertensive encephalopathy	C0151620
purulent drainage	CUI-less
pooling blood	CUI-less
gaurding	CUI-less
pneumoniae	C0032285
recurrent utis	C0262655
soft tissue mass	C0457193
language nonfluent	C0349390
anteverted uterus	CUI-less
resistive indices remain low	CUI-less
presyncopal	C0700200
diffusely low attenuation	CUI-less
lesion liver	CUI-less
cervical lymphadenopathy	C0235592
pneumatized	CUI-less
spenic lac	C0347636
wbc decreasing	CUI-less
fascia defect	C0263977
vascular territorial herniations	CUI-less
dyslipidemia	C0242339
opiate withdrawal	C0029104
much pooling	CUI-less
abd nondistended	CUI-less
wheezy	C0043144
linear atelectasis	C0264495
dissection	C0340643
depressed ms	C0278061
presbyesophagus	C0262605
depressed left ventricular function	CUI-less
aortic stenosis	C0003507
single vessel cad	C0581374
poor left ventricular function	CUI-less
poor decision making	CUI-less
systolic murmur	CUI-less
femoral bruits	CUI-less
variceal bleed	C0333106
elevated pcwp	CUI-less
conjunctival hemorrhage	C0009760
pain	C0030193
suicidality	CUI-less
lle	C0239340
enlarged	C0020564
brain tumor	C0006118
respiratory discomcomfort	C0476273
anomia	C0003113
ascending cholangitis	C0311273
hypercalcemia	C0020437
dysmetria	C0234163
pelvic instability	C2919586
hypercalcemic	C0020437
deep vein thrombosis	C0149871
left ventricular dilated	C0344911
sscp	C0151826
tibial plateau fracture	C0262489
acute myocardial infarction	C0155626
scarring	C0008767
dissection iliac	C0340649
mental status	CUI-less
cervical spine fracture	C0262414
severe respiratory distress	C0748355
paucity of air	CUI-less
diabetic	C0011849
pyelonephritis	C0034186
depressed ci	CUI-less
atrial premature depolarizations	CUI-less
cardiac enzymes	CUI-less
radial head fracture	C0435577
non-verbal	CUI-less
pale	C0030232
cyanosis	C0010520
vomiting	C0042963
metastatic bleed	C0019080
lung collapse	C0004144
warmth	C0235218
elevated blood sugars	C0020456
enlarged pupil	CUI-less
right bundle-branch block	C0085615
numerous diverticuli	C1265782
lung sounds coarse bilaterally	CUI-less
fatty infiltrate	C0332448
coffee ground emesis	C1510416
dolls	C0234446
gallbladder distended	CUI-less
loc	CUI-less
level of alertness	CUI-less
intraventricular conduction delay	C0264909
ra diastolic collapse	CUI-less
abd distention	CUI-less
residual fluid	CUI-less
addison's disease	C0001403
poor inspiratory effort	CUI-less
ischemic event	C0022116
arteriovenous fistula	C0003855
aortic valve regurgitation	C0003504
clearing aspirate material	CUI-less
laceration esphagus	C0347629
non-convlusive status	CUI-less
hypotensive	C0520541
t2dm	C0011860
intramural hematoma type b	CUI-less
nonspecific st changes	CUI-less
scotomas	C0036454
chronic etoh abuse	C0001973
diabetes	C0011860
residual contrast	CUI-less
hit head	CUI-less
glycemic control	CUI-less
stiff neck	C0151315
ruq tenderness	C3164070
other concerns	C0159028
intact to light touch	CUI-less
retractile testis	C0520578
passive range of motion	CUI-less
common femoral artery injury	C0160755
bandemia	C0741439
drinking	CUI-less
difficulty writing	C0584995
klebsiella pna	C0519030
consolidation lower lobe	C0521530
postpartum bleeding	C0032797
st-t wave changes	CUI-less
plaque internal carotid arteries	C0004155
drainage incision	C0332799
lung collapsed	C0004144
mediastinal lad	C0520743
heparin induced thrombocytopenia	C0272285
hydrocele	C1720771
irregular rate	CUI-less
cardiac failure	C0018801
left anterior fascicular block	C0264912
distal arch coarctation	C0003492
acute change	CUI-less
thrombocytopenia	C0040034
respiratory instability	C0035204
in-stent stenosis	CUI-less
heaped up mucosa	CUI-less
sputum	C0425512
line sepsis	C1536163
thickened	CUI-less
thrombocytopenic	CUI-less
dropped bp	C0232107
extremities warm	CUI-less
mumble	CUI-less
obstructed bile duct	C0008370
afib	C0004238
myoclonus	C0027066
do not resuscitate	CUI-less
relief	CUI-less
perineal injury	C0272439
vegetation tricuspid valve	C0577799
temp	CUI-less
poor laryngeal sensitivity	CUI-less
contrast extravasation	C1997179
loculated l effusion	C1265808
hematuria	CUI-less
memory loss	C0751295
aspergillosis	C0004030
thyromegly	C0018021
inability to pass gas	CUI-less
asystolic arrest	C0018790
dilated rv	C0344893
noninsulin-dependent diabetes mellitus	C0011860
flushed	CUI-less
type b intramural hematoma	CUI-less
respiratory issues	C0035204
fib deformity	C0410724
rv pressure overload	CUI-less
enlarged right kidney	CUI-less
focal weakness	C1883552
leave against medical advice	CUI-less
elevated aminotransferases	CUI-less
lvh	C0149721
clot	C0302148
atrial premature complexes	C0033036
short pr interval	CUI-less
ovarian cancer	C0029925
restless legs syndrome	C0035258
foreign body	C0016542
triopathy	CUI-less
biliary ductal dilatation	C0431582
paralysis	CUI-less
stiffness	C0427008
cerebrovascular accident	C0038454
abd obese	CUI-less
elevated lfts	CUI-less
aspiration thin liquid	C0232076
nonpitting edema	CUI-less
dilated ra	C0344709
wide complex tachycardia	CUI-less
calcifications	CUI-less
mental status alteration	C0278061
ecchymoses	CUI-less
air bubbles	CUI-less
stress response	CUI-less
intraventricular hemorrhage	C0240059
swallowing function	CUI-less
inability to eat	CUI-less
lactate elevated	CUI-less
depressed affect	CUI-less
atelectasis	C0004144
gallbladder collapsed	CUI-less
a-v conduction delay	CUI-less
non-productive cough	C0850149
abdomen tenderness	C0232498
multiple falls	C0000921
brain metastases	C0563517
femoral bruit	CUI-less
elevated white blood cell count	CUI-less
non-steroidal anti-inflammatory drugs	C0413722
arrhythmia	C0003811
blood in oropharynx	CUI-less
rib fx	C0035522
polyp	C0032584
transmigrated bacteria	CUI-less
abdomen distended	CUI-less
knee abrasions	C0432860
dark material vomit	CUI-less
adomen obese	CUI-less
pain medication	CUI-less
buttock wound	C0160558
able to answer questions	CUI-less
right ventricular conduction delay	CUI-less
lv function	CUI-less
elevated lipase	CUI-less
tibc low	CUI-less
hypotension	CUI-less
dilated ascending aorta	C0345049
hip fractures	C0019557
right sided weakness	CUI-less
pnuemonia	C0032285
substance use	C0740858
myalgias	C0231528
solid organ injury	C0332675
changes in personality	C0240735
vertigo	C0042571
nsaid use	CUI-less
luminal irregularities	CUI-less
basal cell carcinoma	C0007117
narrowing	C1261287
sinus tach	C0039239
failed swallow	C0011168
heart attack	C0027051
old inferior infarct	C0340321
dm2	C0011860
passing gas	C0016204
w/d	C0087169
decreased po intake	CUI-less
aortic aneurysms thoracic	C0162872
filling pressures	CUI-less
pleural rub	CUI-less
multiple renal cysts	C0431718
apparent distress	CUI-less
hypertensive urgency	C0745138
loculated left effusion	C1265808
postoperative bleeding	C0032788
pulm contusions	C0347625
responding to painful stimuli	CUI-less
heartburn	C0018834
dry mucous membranes	C0854113
abdominal distension	CUI-less
renal cell carcinoma	C0007134
liver hemangioma	C0238246
lv systolic function depressed	CUI-less
plugged with secretions	CUI-less
pulmonary hyperinflation	C1167782
abnormal eeg	CUI-less
acute anterior st elevation myocardial infarction	C1303258
exhausted	C0392674
abdomen distention	CUI-less
forlymphoma	C0024299
hyperdense material	CUI-less
st elevations	CUI-less
stimulus sensitive	CUI-less
st-t wave abnormalities	CUI-less
atrial premature beats	C0033036
lower gi bleed	C0024050
overdose atenolol	C0573210
multilobar pna	C0032300
decreased level of consciousness	CUI-less
q-waves	CUI-less
dni	CUI-less
supraclavicular nose	CUI-less
speech slurred	CUI-less
aocd	C0002873
elevated right sided filling pressures	CUI-less
flash pulmonary edema	C0155919
dysphagia	C0011168
nasal dryness	CUI-less
dnr	CUI-less
ampullary mass	CUI-less
left ventricular systolic function depressed	CUI-less
lower extremities edema	C0239340
recurrence ventral hernia	C0267717
nstemi	C1276061
hypertrophied	C0020564
non-specific inferolateral st-t wave changes	CUI-less
retinopathy	C0011884
decreased bolus control	CUI-less
doe	C0231807
large right atrium	CUI-less
racoon's eyes	CUI-less
metastases liver	C0494165
upset	C1535460
hypoxemic	CUI-less
left ventricle dilated	C0344911
masses left ventricle	CUI-less
mca aneurysm	C1290398
food impacted	CUI-less
intracranial process	CUI-less
patchy opacities	CUI-less
deep q waves	CUI-less
lyme disease	C0024198
abdominal complaint	C0221098
stool dark	C0025222
spinal stenosis	C0037944
downs syndrome	C0013080
reperfusion	CUI-less
carpal tunnel	C0007286
bladder ca	C0005684
ectopy	CUI-less
ventricular fibrillation	C0042510
mrgs	CUI-less
wbc trended down	CUI-less
increasing troponin	CUI-less
asystolic	C0018790
reaction to bactrim	C0041755
elevated left-sided pressures	CUI-less
lv dilated	C0344911
heme positive stool	C1321898
lacunar infarcts	C0585229
aortic regurgitation	C0003504
uncal herniation	C0393985
occult bleeding	C0333282
hoarseness	C0019825
cavitary mass	CUI-less
hemangioma	C0018916
lll pna	C0584104
blood loss	C0019080
narrowing carotids	C0007282
abd nd	CUI-less
effusions	C0013687
sucking chest wall wound	C1264413
right atrial dilatation	C0344709
soft- tissue densities	CUI-less
narrows	C1261287
cortical dysfunction	CUI-less
rv volume overload	CUI-less
twitching	C0231530
chronic inflammation	C0021376
positive urinalysis	CUI-less
urinary infection	C0042029
hemorrhages	C0019080
portal hypertension	C0020541
non-specific st-t wave changes	CUI-less
dry	C0151908
uti	C0042029
bright red blood	CUI-less
adhesions	C0001511
incurable disease	CUI-less
abd nr	CUI-less
abd nt	CUI-less
signs of aspiration	CUI-less
oriented	CUI-less
range of motion decreased	CUI-less
facial droop	C0427055
breath sounds coarse	C0231859
coagulopathy	C0005779
cardiac arrest	C0018790
bilious emesis	C0042963
abnormally high inr	CUI-less
fever meningismus	CUI-less
knee arthritis	C0240111
bleed of gastropathy	C0941011
mycoplasma pneumonia	C0032302
elevated pulmonary pressures	CUI-less
volume overloaded	C0546817
ventricular septal defect	C0018818
ventilator dependence	CUI-less
met	C2939419
cirrhosis	C0023890
dts	C0001957
vommitted blood	C0018926
cardiac arrhythmia	C0003811
renal osteodystrophy	C0035086
multinodular goiter	C0342208
white plaque	CUI-less
focal numbness	C0028643
hyper k	CUI-less
neurologic deficits	CUI-less
diastolic htn	C0235222
lgi bleed	C0024050
drainable fluid collections	CUI-less
subdural hematomas	C0018946
temp. fracture	C0272461
diabetic nephropathy	C0011881
adenomymatosis gallbladder	CUI-less
edema	C0013604
runny nose	C1260880
partial small bowel obstruction	C0281936
perirenal stranding	CUI-less
creatinine down	CUI-less
ulceration esophagus	C0151970
pulmonary embolus	C0034065
shortness of breath on exertion	C0231807
etoh intoxication	C0001969
respiratory rate	CUI-less
respirations	CUI-less
hepatic cysts	C0267834
pain with urination	C0013428
dvt	C0149871
slurring speech	CUI-less
atelctasis	C0004144
intracranial bleed	C0151699
sinus bradycardia	C0085610
coarse sounds	CUI-less
colon carcinoma	C0699790
persistently febrile	C0476474
hip pain	C0019559
lm disease	CUI-less
sober	CUI-less
nonreactive pupil	CUI-less
seizure	C0036572
alzheimer's	C0002395
gram negative rods	CUI-less
hyperdense focus	CUI-less
stool tarry	C0025222
asbestos exposure	CUI-less
valvular disease	C0018824
fluid collection	CUI-less
fell	C0000921
benign	CUI-less
chest tightness	C0232292
non-st elevation mi	C1276061
rapid atrial fibrillation	C1281999
positive leukocyte esterase	CUI-less
facial lacerations	C1299982
renal cell cancer	C0007134
language dysfunction	C0003537
reactive thrombocytosis	C0457506
status epilepticus	C0038220
gastric ulcers	C0341178
benign positional vertigo	C0155502
dilated loops small bowel	CUI-less
gait unsteady	CUI-less
disoriented	C0233407
glomerulonephritis	C0017658
soft tissue compromise	C0263978
corneal on l on	CUI-less
bed abnormalities	CUI-less
mrsa	C0343401
calcified mass	CUI-less
belching	C0014724
glaucoma	C0017601
esld	CUI-less
enhancement	CUI-less
squamous cell carcinoma of the skin	C0553723
increase hematocrit	CUI-less
perivascular haziness	CUI-less
spider angiomata	CUI-less
left gazed deviation	CUI-less
contraindication	CUI-less
decreased pinprick	CUI-less
complaints	CUI-less
non-viable small bowel	CUI-less
photophobia	C0085636
nausea	C0027497
congenital heart defect	C0018798
hematochezia	CUI-less
lv wall motion abnormalities	CUI-less
difficulty repeating	C0233742
abd nontender	CUI-less
scar	C2004491
breast carcinoma	C0678222
mca infarction	C0740392
costovertebral angle tenderness	C0235634
night sweats	C0028081
drowsy	CUI-less
two-vessel disease	C0581375
mass	CUI-less
hyporeflexia	CUI-less
extra-axial hemorrhage	CUI-less
asplenic	C0272405
adomen nontender	CUI-less
liver masses	C0240225
upward retraction	CUI-less
gastric distention	CUI-less
urgency	CUI-less
cerebral ischemia	C0917798
bacterial pneumonia	C0004626
sleepy	CUI-less
abnormal septal position	CUI-less
orthopnea	C0085619
high grade large b-cell lymphoma	C0456867
bilateral pleural effusion	C0747635
extra axial fluid	CUI-less
metastatic	C1384494
paced	CUI-less
palpitation	CUI-less
mediastinal emphysema	C0025062
cholangitis	C0008311
postprocedural complications	C0032787
right-sided chest pain	C0563275
arrhythmias	C0003811
acute leukemia	C0085669
using morphine	CUI-less
vegatations	C1285498
addisons disease	C0001403
non bleeding ulcer	CUI-less
blood pressure labile	CUI-less
deformed	C0302142
blood stool	C1321898
fracture vertebra	C0080179
poor prognosis	CUI-less
fluid collections abdomen	C0685931
speech difficulty	C1527347
tracheobronchomalacia	C0340231
chest pain radiation	C0232289
can't walk	CUI-less
heart rhythm abnormality	C0003811
obstipation	C0221152
impaired position sense	C0576690
dizzy	C0012833
incarcerated hernia	C0740406
chronic abdominal pain	C0232491
vascularity	CUI-less
renal dysfunction	CUI-less
osteomyelitis	C0029443
tattoo	C0221258
chest pain radiating	C0232289
postoperative pulmonary edema	C0264501
thallesemia minor	C0085578
fibrosis	C0016059
right drift	CUI-less
variable block	CUI-less
lip laceration	C0561241
extension	C0231450
lesion stomach	C0679408
cdiff	C0343386
crohn's	C0010346
abdomen non-distended	CUI-less
renal disease	C0022658
esrd	C0022661
sz d/o	C0014544
leg ulcer	C0023223
misaligned sternal wires	C1997248
dilated lv	C0344911
low qrs voltages	CUI-less
mrg	CUI-less
multifactorial	CUI-less
radiated throughout chest	CUI-less
consolidation	C0521530
hepatitis	C0019158
dilated la	C0344720
fist degree av block	C0085614
residual air	CUI-less
abdominal nondistended	CUI-less
elevated co2	CUI-less
nsclc	C0007131
visual field deficit right	CUI-less
conduction delay	CUI-less
oral dysphagia	C2315800
cystic	C0010709
fluctuance	CUI-less
chronic hepatitis b	C0524909
acute cholecystitis	C0149520
injuries	C0175677
pneumonitis	C0032285
change in mental status	C0278061
elevation right hemidiaphragm	CUI-less
methicillin sensitive staphylococcus aureus	C2367273
atelectatic	C0004144
right-left neglect	CUI-less
deep tissue infection	C1290024
interval change	CUI-less
hernias	C0019270
st changes are nonspecific	CUI-less
flash edema	C0333240
av nodal disease	CUI-less
bacteremia	C0004610
weight loss	CUI-less
rep depression	C0235063
carotid bruit	CUI-less
thrush	C0006849
opacities	C1265876
liver palpated	CUI-less
metabolic acidosis	C0220981
feeling dizzy	C0012833
dropping bp	C0232107
myocardial ischemia	C0151744
pulmonary consolidation	C0521530
intraparenchymal hematoma	C2316496
gallbladder stone	C0008350
skin itchiness	C0033774
nasal fracture	C0339848
cyanotic	C0010520
unreactive	CUI-less
peripheral edema	CUI-less
heart disease	C0018799
st elevations inferiorly	CUI-less
decreasing hct	CUI-less
irregulary irregular	CUI-less
lytic lesions	CUI-less
ecchymosis	CUI-less
heart rate	CUI-less
abnormal signal	CUI-less
lgib	C0024050
mvp	C0026267
thickened mitral leaflets	C3164530
cardiac disease	C0018799
ventricular ectopy	C0151636
embolic stroke	C0262469
metastatic adenocarcinoma	C0334277
flatus	C0016204
left ventricular systolic function is hyperdynamic	CUI-less
poor balance	CUI-less
pericardial tamponade	C0007177
pleural effusions	C0032227
vfib arrest	CUI-less
brain death	CUI-less
cortical activity	CUI-less
abdominal aortic aneurysm	C0162871
aortic sclerosis	C1331537
tonsillar enlargement	C0272386
asctes	CUI-less
drug fever	C1320835
dehydration	C0011175
pitting bilaterally	C0333243
thigh pain	C0241374
organic mania	C0338831
focal deficits	CUI-less
interventricular blood	CUI-less
aortic valve leaflets deformed	CUI-less
sacral lesions	CUI-less
vestibulo-ocular reflex	CUI-less
exp wheezing	C0231875
abd distended	CUI-less
l sided cp	C0541828
adenomyomatosis gallbladder	CUI-less
st changes	CUI-less
knee swelling	CUI-less
chronic pain	C0150055
coronary problems	CUI-less
amyloidosis	C0002726
induration wound	CUI-less
abnormal stress echocardiogram	CUI-less
interstitial edema	C0013604
abrasion	C1302752
hypotensive episodes	C0520541
emphysema	C0034067
sleep	CUI-less
epigastric pain	C0232493
hay fever	C0018621
respiratory status	CUI-less
irregular menstrual cycle	C0156404
hepatitis-c cirrhosis	CUI-less
density	CUI-less
infrahilar opacification	CUI-less
parenchymal opacity	CUI-less
dilated loops	CUI-less
left anterior hemi-block	C0155702
facial weakness	C0427055
nasal septum spur	C0426460
tortuous artery	CUI-less
sleep disorder	C0851578
nose bloody	C0014591
le edema	C0239340
adventitious movements	CUI-less
persistent fevers	C0476474
slurred speech	CUI-less
intracystic pheochromocytoma	C0031511
oriented to self only	CUI-less
atrial bigeminy	C0262382
compression fractures	C0521169
poor dentition	CUI-less
cardiapulm changes	CUI-less
abdominla scars	CUI-less
prominent loops small bowel	CUI-less
ectopic beats	CUI-less
elongated	CUI-less
faint	C0039070
opioid overdose	C0572061
hypodensity	CUI-less
extravasation of barium	C0015376
strep a group bacteremia	C0554628
left anterior descending artery thrombus	C0264690
oozing	C1446325
deformity laceration	CUI-less
ideomotor apraxia	C0234523
two-vessel coronary artery disease	C0581375
decreased respiratory status	C0235063
free intraperitoneal air	C0032320
pulmonary artery thrombus	C0151947
sinus mucosal thickening	CUI-less
tortuous	CUI-less
rigidity	C0026837
r/l disorientation	C0422885
trouble breathing	CUI-less
uterine fibroid	C0042133
gallops	CUI-less
chronic inflammatory change	C0021376
inappropriate pacemaker response	C0340914
expiratory wheeze	C0231875
resp distress	C0476273
delirium	C0011206
profound mental retardation	C0020796
femur fracture	C0015802
t wave inversions v3 through 6	CUI-less
peri-valve leaks	C1260873
intracranial injury	C0347535
ankle swelling	C1536390
passing flatus	C0016204
small vessel dz	C2733158
dec resp. drive	CUI-less
intracranial hemorrhage	C0151699
troponin	CUI-less
schizoaffective d/o	C0036337
apraxia	C0003635
urinary tract infection	C0042029
arterial anastomotic stenosis	CUI-less
nodular opacity	CUI-less
consolidations	C0521530
abrasion ankle	C0432862
benign prostatic hypertrophy	C0005001
tuberous sclerosis	C0041341
encephalopathy	C0085584
nad	CUI-less
respiratory distress syndrome	C1704437
do not intubate	CUI-less
anterior mi	C0340293
lv diastolic dysfunction	C1273070
concering sign	CUI-less
atelectasis right	C0004144
dry eschar	C0521172
pulmonary artery systolic pressure	CUI-less
fluid overload	C0546817
crohns	C0010346
hepatic abscess	C0023885
increasing urination	CUI-less
fibrinogen elevated	CUI-less
hemodynamics	CUI-less
white blood cell count rose	CUI-less
obstruction to flow of contrast	CUI-less
malnutrition	C0162429
noncompliance medications	CUI-less
bb toxicity	C0573209
mass effect	CUI-less
elevated systemic pressures	CUI-less
rv diastolic collapse	C1563062
mixed dementia	C0349078
vsd	C0018818
elevated systolic pressure	CUI-less
colovesicular fistula	C0268842
dilated aortic root	C0238669
nontender	CUI-less
infarctions	C0021308
t wave inversions in v3 through 5	CUI-less
polysubstance overdose	C1571836
flank tenderness	C0235634
thyroid condition	C0040128
cardiac risk factors	CUI-less
midline shift	CUI-less
atrial ectopy	C0085611
fractures ribs	C0035522
overdose	C0029944
degenerative joint disease	C0029408
abd pain	C0000737
heterogeneous calcified plaquing	CUI-less
blockages	C0264995
pneumococcl sepsis	C0152966
transverse process fracture	C0272511
ingestion of atenolol	C0568621
serosanguineous drainage	CUI-less
malignant hypertension	C0020540
cervical motion tenderness	CUI-less
food in the hernia sac	CUI-less
injection granulomas	C0085654
hemorrhoids	C0019112
forearm fracture	C1305215
hemorrhage	C0019080
congenitcal spine abnormality	C0158775
narcotic pain medications	CUI-less
